D'Arcy Short,69.97,31.47
Peter Siddle,328.0,318.0,308.0,259.0,250.0,222.0,171.0,141.0,98.0,58.0,23.0
Jamie Siddons,32.0
Bob Simpson,1571.0,1471.0,1295.0,1275.0,1166.0,941.0,740.0,429.0,338.0,267.0,175.0,83.0,60.0
Michael Slater,1154.0,1058.0,915.0,746.0,633.0,616.0,563.0,344.0,168.0
Steve Smith,296.0,223.0,117.0
Steve Smith,1184.0,1101.0,862.0,697.0,482.0,290.0,152.0,131.0,77.0
Keith Stackpole,953.0,903.0,761.0,647.0,511.0,304.0,201.0,169.0,134.0
Billy Stanlake,8.0,8.0,1.0
Mitchell Starc,518.0,489.0,454.0,393.0,309.0,251.0,199.0,100.0,32.0,0
Marcus Stoinis,295.0,243.0,156.0,10.0
Anthony Stuart,1.0
Andrew Symonds,1104.0,1046.0,884.0,777.0,621.0,465.0,361.0,218.0,175.0,115.0,68.0,0
Shaun Tait,39.0,38.0,38.0,32.0,23.0,15.0,4.0
Mark Taylor,1497.0,1495.0,1161.0,1032.0,927.0,804.0,734.0,564.0,464.0,320.0,219.0
Peter Taylor,283.0,250.0,219.0,132.0,96.0,42.0
Alan Thomson,16.0,16.0
Jeff Thomson,272.0,244.0,232.0,207.0,185.0,170.0,162.0,138.0,97.0,91.0,42.0,19.0
Peter Toohey,259.0,205.0,83.0
Chris Tremain,23.0
Glenn Trimble,4.0
Alan Turner,98.02,73.6,28.35
Ashton Turner,102.0,18.0
Andrew Tye,24.0,4.0,4.0
Mike Veletta,142.0,133.0,116.0,48.0
Adam Voges,843.0,604.0,335.0,223.0,143.0,98.0,26.0,26.0
Matthew Wade,517.0,417.0,341.0,270.0,218.0,116.0,10.0
Max Walker,220.0,216.0,211.0,202.0,124.0,116.0,75.0,34.0,11.0
Doug Walters,1601.0,1523.0,1416.0,1382.0,1132.0,1025.0,954.0,850.0,738.0,718.0,663.0,551.0,309.0,215.0,155.0
Shane Warne,858.0,787.0,744.0,654.0,601.0,601.0,538.0,439.0,407.0,321.0,286.0,233.0,200.0,164.0,109.0,35.0
David Warner,1401.0,1338.0,1159.0,986.0,733.0,588.0,464.0,284.0,161.0,89.0
Graeme Watson,80.0,67.0,50.0
Shane Watson,1462.0,1338.0,1257.0,1175.0,999.0,916.0,731.0,605.0,469.0,343.0,275.0,196.0,130.0,112.0,77.0
Mark Waugh,1635.0,1580.0,1407.0,1288.0,1167.0,1014.0,898.0,768.0,642.0,502.0,365.0,253.0,114.0,74.0,32.0
Steve Waugh,2483.0,2403.0,2247.0,2144.0,1987.0,1836.0,1637.0,1480.0,1320.0,1150.0,950.0,786.0,629.0,574.0,509.0,445.0,268.0,177.0,94.0,13.0
Dirk Wellham,256.0,159.0,116.0,103.0
Kepler Wessels,1002.0,897.0,805.0,687.0,597.0,514.0,341.0,162.0
Dav Whatmore,24.53,22.53
Cameron White,460.0,443.0,443.0,368.0,346.0,301.0,196.0,91.0,45.0,0.0
Mike Whitney,38.0,36.0,23.0,16.0,14.0,11.0,5.0,4.0
Brad Williams,26.0,24.0,13.0
Paul Wilson,1.33,0
Graeme Wood,979.0,940.0,829.0,657.0,589.0,498.0,398.0,273.0,161.0,126.0
Ashley Woodcock,40.0
Roger Woolley,41.5,31.0
Daniel Worrall,0
Graham Yallop,941.0,899.0,631.0,517.0,345.0,178.0,57.0
Bruce Yardley,240.0,216.0,163.0,135.0,74.0
Bradley Young,15.5,15.5
Adam Zampa,47.0,39.0,17.0,12.0
Andrew Zesers,0
Tim Zoehrer,111.0,102.0,52.0
Minhajul Abedin,252.0,184.0,139.0,121.0,95.0,62.0,40.0
Nurul Abedin,15.0,13.0
Aftab Ahmed,414.0,368.0,307.0,215.0,149.0,67.0
Faruk Ahmed,80.0,71.0,14.0
Jamaluddin Ahmed,0
