Alan Connolly,14.0,36.0,37.0,14.0,7.0,0.0,3.0,1.0
Mark Cosgrove,37.33
Gary Cosier,28.0,84.0,168.0,37.0,109.0
Nathan Coulter-Nile,28.0,34.0,8.0,15.0,0.0,16.0,16.0
Dan Cullen,0
Pat Cummins,25.0,63.0,44.0,0.0,7.0,3.0,13.0,13.0
Ben Cutting,5.0,29.0,27.0
Adam Dale,15.0,7.0,6.0,15.0
Rick Darling,34.0,74.0,91.0,65.0
Ian Davis,88.0,105.0,50.0,15.0
Simon Davis,0,3.0,6.0
Michael Di Venuto,26.77
Tony Dodemaide,15.0,16.0,30.0,50.0
Xavier Doherty,0.0,1.0,18.0,13.0,10.0,16.0
Brett Dorey,2.0
Greg Dyer,13.87,17.87,51.0
Geoff Dymock,19.0,31.0,11.0,2.0,0.0,13.0
John Dyson,30.0,79.0,127.0,102.0,79.0,26.0,53.0
Ross Edwards,99.0,115.0,74.0,170.0
Wally Edwards,2.0,11.33
Matthew Elliott,1.0,44.0,32.0,199.0,78.0
Phil Emery,0
James Faulkner,32.0,36.0,50.0,69.0,116.0,0
Callum Ferguson,3.0,46.0,0,71.0
Aaron Finch,153.0,172.0,124.0,107.0,135.0,121.0,156.0,36.0,53.0
Damien Fleming,22.0,29.0,65.0,71.0,3.0,24.0,16.0
Peter Forrest,26.28
Brett Geeves,0,0
Dave Gilbert,7.0,8.0
Adam Gilchrist,118.0,149.0,144.0,162.0,172.0,133.0,204.0,152.0,128.0,154.0,118.0,77.0,18.0
Jason Gillespie,201.0,44.0,54.0,48.0,27.0,46.0,23.0,41.0,11.0,28.0,16.0
Gary Gilmour,101.0,95.0,45.0,4.0,52.0
Shaun Graf,4.75,2.5
Brad Haddin,43.0,75.0,118.0,42.0,88.0,136.0,121.0,169.0,87.0,70.0,32.0,32.0,13.0
Jeff Hammond,9.33,0
Peter Handscomb,117.0,34.0,110.0,105.0
Ryan Harris,25.0,74.0,55.0,68.0,23.0,21.0,7.0
Ian Harvey,28.0,48.0,19.0,47.0,38.0,43.0,4.0
Shane Harwood,0.0,0
John Hastings,0,51.0,34.0,32.0,21.0,16.0
Nathan Hauritz,2.0,53.0,75.0,12.0,15.0,20.0,11.0
Matthew Hayden,39.0,123.0,181.0,153.0,138.0,132.0,380.0,197.0,203.0,69.0,125.0,5.0,67.0,50.0
Josh Hazlewood,21.0,17.0,6.0,29.0,39.0,32.0,0,0
Travis Head,161.0,96.0,128.0,57.0
Ian Healy,16.0,134.0,85.0,161.0,74.0,61.0,113.0,71.0,69.0,48.0,44.0,52.0
Sam Heazlett,4.0
Moisés Henriques,62.0,6.0,4.0,0,81.0,12.0
Andrew Hilditch,119.0,113.0,85.0
Ben Hilfenhaus,24.0,34.0,56.0,20.0,0
Brad Hodge,35.0,67.0,123.0,27.0,203.0
Brad Hogg,3.0,7.0,79.0,40.0,41.0,25.0,41.0,71.0,0,11.0
Rodney Hogg,22.0,52.0,19.0,14.0,26.0,12.0,19.0,36.0
Bob Holland,0,2.37,5.0
David Hookes,5.0,42.0,51.0,143.0,68.0,0.0,43.0,85.0
James Hopes,57.0,63.0,63.0,39.0,43.0,0
Kim Hughes
Merv Hughes,26.0,45.0,26.0,36.0,32.0,72.0,21.0,16.0,8.0,0.0
Phillip Hughes,85.0,138.0,86.0,126.0,86.0,160.0
David Hussey,60.0,74.0,68.0,59.0,111.0,52.0
Michael Hussey,27.0,150.0,142.0,195.0,121.0,146.0,133.0,182.0,137.0,17.0
Phil Jaques,108.0,150.0,94.0,28.0
Mitchell Johnson,77.0,88.0,64.0,92.0,57.0,62.0,123.0,50.0,24.0,15.0,0
Dean Jones,98.0,84.0,150.0,88.0,145.0,216.0,102.0,184.0,210.0,99.0,48.0
Brendon Julian,35.0,20.0,0.0,31.0,56.0
Michael Kasprowicz,7.0,23.0,19.0,0,13.0,21.0,25.0,28.0,21.0,0
Simon Katich,106.0,122.0,157.0,107.0,118.0,125.0,75.0,15.0
Martin Kent,24.9
Usman Khawaja,104.0,171.0,79.0,145.0,174.0,54.0,65.0
Jason Krejza,7.0,32.0
Bruce Laird,91.0,117.0,74.0,92.0
Justin Langer,26.0,100.0,105.0,215.0,146.0,250.0,123.0,223.0,144.0,179.0,29.0,12.0,6.0,69.0,63.0
Ben Laughlin,0,1.0
Trevor Laughlin,74.0,35.0
Stuart Law,20.0,27.0,93.0,72.0,74.0,110.0
Geoff Lawson,74.0,0.0,13.0,53.0,49.0,49.0,57.0,29.0,16.0
Brett Lee,59.0,39.0,25.0,63.0,20.0,64.0,47.0,15.0,46.0,51.0,61.0,62.0,27.0
Shane Lee,25.0,28.0,47.0,9.0,39.0
Darren Lehmann,49.0,153.0,177.0,119.0,92.0,110.0,103.0,10.0,15.0
Mick Lewis,0,0
